Year,Value,SERIES
2017,26.8,EG_TBA_H2CO
2020,27.0,EG_TBA_H2CO
2023,35.8,EG_TBA_H2CO
2017,35.9,EG_TBA_H2CORL
2020,35.9,EG_TBA_H2CORL
2023,55.0,EG_TBA_H2CORL
