Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2019,Average share of the built-up area of cities that is open space for public use for all [11.7.1],Nairobi,City,Percent,16.4
2019,Average share of the built-up area of cities that is open space for public use for all [11.7.1],Mombasa,City,Percent,9.5
2019,Average share of the built-up area of cities that is open space for public use for all [11.7.1],Kisumu,City,Percent,67.1
2019,Average share of the built-up area of cities that is open space for public use for all [11.7.1],Nakuru,City,Percent,0.1
