Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2019,SP_TRN_PUBL,KE_NBO,CITY,PT,66
2019,SP_TRN_PUBL,KE_MBA,CITY,PT,20
2019,SP_TRN_PUBL,KE_KIS,CITY,PT,10
2019,SP_TRN_PUBL,KE_NUU,CITY,PT,16
