Year,SEX,AGE,Value
2020,,,0.268346
2021,,,0.897019
2022,,,0.971892
2023,,,0.774372
2024,,,1.22453
2020,M,,0.313869
2021,M,,1.605903
2022,M,,1.69693
2023,M,,1.248567
2024,M,,2.442832
2020,F,,0.223544
2021,F,,0.199512
2022,F,,0.258633
2023,F,,0.307973
2024,F,,0.026481
2020,,Y0T17,0.217448
2021,,Y0T17,0.248443
2022,,Y0T17,0.617668
2023,,Y0T17,0.273007
2024,,Y0T17,0.131231
2020,,Y_GE18,0.308787
2021,,Y_GE18,1.400757
2022,,Y_GE18,1.241026
2023,,Y_GE18,1.147279
2024,,Y_GE18,2.021114
