Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2019,EN_URB_OPENSP,KE_NBO,CITY,PT,16.4
2019,EN_URB_OPENSP,KE_MBA,CITY,PT,9.5
2019,EN_URB_OPENSP,KE_KIS,CITY,PT,67.1
2019,EN_URB_OPENSP,KE_NUU,CITY,PT,0.1
