Year,Value,SERIES
2018,57.0,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  [17.15.1]
2020,47.0,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  [17.15.1]
2018,70.0,Extent of use of country-owned planning tools by providers of development cooperation - data by provider
2020,99.0,Extent of use of country-owned planning tools by providers of development cooperation - data by provider
