Year,Value,SERIES
2014,137.3,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
2016,40.6,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
2017,56.3,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
2014,137.3,Stocks of intercepted wildlife products - Proxy
2016,40.6,Stocks of intercepted wildlife products - Proxy
2017,56.3,Stocks of intercepted wildlife products - Proxy
