Year,SEX,URBANISATION,Value
2014,,,33.0
2016,,,44.4
2019,,,47.3
2024,,,53.7
2016,,R,36.3
2019,,R,40.5
2024,,R,48.6
2016,,U,58.7
2019,,U,62.6
2024,,U,64.6
2014,F,,30.2
2016,F,,43.2
2019,F,,47.0
2024,F,,52.9
2014,M,,35.7
2016,M,,45.5
2019,M,,47.6
2024,M,,54.5
