Year,SERIES,Value
2017,EG_TBA_H2CO,26.8
2020,EG_TBA_H2CO,27.0
2023,EG_TBA_H2CO,35.8
2017,EG_TBA_H2CORL,35.9
2020,EG_TBA_H2CORL,35.9
2023,EG_TBA_H2CORL,55.0
