Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2020,Ratio of land consumption rate to population growth rate [11.3.1],Nairobi,City,Percent,1.33
2020,Ratio of land consumption rate to population growth rate [11.3.1],Mombasa,City,Percent,2.67
2020,Ratio of land consumption rate to population growth rate [11.3.1],Kisumu,City,Percent,3.0
2020,Ratio of land consumption rate to population growth rate [11.3.1],Nakuru,City,Percent,3.0
