Year,Value,SERIES
2020,105,_L_KE_161001_01
2021,54,_L_KE_161001_01
2022,18,_L_KE_161001_01
2023,64,_L_KE_161001_01
2024,68,_L_KE_161001_01
2020,1,VC_VAW_MTUHRA
2021,4,VC_VAW_MTUHRA
2022,3,VC_VAW_MTUHRA
2023,9,VC_VAW_MTUHRA
2024,4,VC_VAW_MTUHRA
2020,0,_L_KE_161001_02
2021,0,_L_KE_161001_02
2022,0,_L_KE_161001_02
2023,0,_L_KE_161001_02
2024,6,_L_KE_161001_02
2020,2,VC_VOC_ENFDIS
2021,0,VC_VOC_ENFDIS
2022,0,VC_VOC_ENFDIS
2023,1,VC_VOC_ENFDIS
2024,2,VC_VOC_ENFDIS
2020,96,_L_KE_161001_03
2021,36,_L_KE_161001_03
2022,12,_L_KE_161001_03
2023,5,_L_KE_161001_03
2024,25,_L_KE_161001_03
2020,0,_L_KE_161001_04
2021,0,_L_KE_161001_04
2022,0,_L_KE_161001_04
2023,1,_L_KE_161001_04
2024,17,_L_KE_161001_04
2020,6,_L_KE_161001_05
2021,14,_L_KE_161001_05
2022,3,_L_KE_161001_05
2023,48,_L_KE_161001_05
2024,14,_L_KE_161001_05
