Year,Value,SERIES
2014,137.3,ER_WLD_TRPOACH
2016,40.6,ER_WLD_TRPOACH
2017,56.3,ER_WLD_TRPOACH
2014,137.3,_L_KE_150c01_01
2016,40.6,_L_KE_150c01_01
2017,56.3,_L_KE_150c01_01
