Year,SERIES,Value
2014,ER_WLD_TRPOACH,137.3
2016,ER_WLD_TRPOACH,40.6
2017,ER_WLD_TRPOACH,56.3
2014,_L_KE_150c01_01,137.3
2016,_L_KE_150c01_01,40.6
2017,_L_KE_150c01_01,56.3
