Year,SERIES,Value
2014,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",137.3
2016,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",40.6
2017,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",56.3
2014,Stocks of intercepted wildlife products - Proxy,137.3
2016,Stocks of intercepted wildlife products - Proxy,40.6
2017,Stocks of intercepted wildlife products - Proxy,56.3
