Year,SERIES,Value
2017,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],26.8
2020,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],27.0
2023,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],35.8
2017,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],35.9
2020,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],35.9
2023,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],55.0
