Year,Sex,Degree of urbanisation,Value
2014,,,33.0
2016,,,44.4
2019,,,47.3
2024,,,53.7
2016,,Rural,36.3
2019,,Rural,40.5
2024,,Rural,48.6
2016,,Urban,58.7
2019,,Urban,62.6
2024,,Urban,64.6
2014,Female,,30.2
2016,Female,,43.2
2019,Female,,47.0
2024,Female,,52.9
2014,Male,,35.7
2016,Male,,45.5
2019,Male,,47.6
2024,Male,,54.5
