Year,SERIES,Sex,Age,Value
2022,Prevalence of minimum dietary diversity among children aged 6-23 months,,6 to 23 months old,36.9
2022,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],Female,15 to 49 years old,48.4
